id,title,component,severity,created_date,closed_date,text
BUG-1001,Checkout button disabled on iOS 17,Checkout,P0,2025-12-18,,Steps: Open cart -> tap Checkout. Actual: button stays disabled. Expected: proceed to checkout. iOS 17 only. Workaround: restart app.
BUG-1002,Login fails with "Invalid token" after app relaunch,Auth,P2,2025-11-20,2025-11-27,Steps: Login -> kill app -> reopen. Actual: user logged out and cannot login (invalid token). Expected: refresh token and login works. Notes: token refresh endpoint returns 401 intermittently.
BUG-1003,Address list empty after adding a new address,Address,P2,2025-11-22,2025-11-28,Steps: Profile -> Addresses -> Add new. Actual: list becomes empty until app restart. Expected: new address appears immediately. Observed on Android 14.
BUG-1004,Search results show duplicates after applying filters,Search,P3,2025-12-01,2025-12-03,Steps: Search "pizza" -> apply price filter. Actual: duplicates appear and scrolling repeats items. Expected: unique items. Impact: confusing but order possible.
BUG-1005,Apple Pay payment succeeds but order stuck in pending,Payments,P0,2025-12-20,,Steps: Checkout with Apple Pay. Actual: payment success but order remains Pending for 10+ minutes. Expected: order confirmed. Notes: gateway returns success; backend order status not updated.
BUG-1006,Cart total mismatches after removing item quickly,Cart,P3,2025-12-02,2025-12-04,Steps: Add 3 items -> remove 1 quickly -> total shows old value. Expected: totals update. Temporary fix: reopen cart screen.
BUG-1007,Tracking map freezes on first load,Tracking,P2,2025-12-05,,Steps: Open order tracking. Actual: map loads then freezes; driver marker not updating. Expected: live updates. More frequent on poor network.
BUG-1008,Push notifications delayed by 10+ minutes,Notifications,P2,2025-11-15,2025-11-20,Steps: Place order -> wait for driver assigned. Actual: push arrives late; in-app status updates fine. Expected: timely push. Root cause suspected: APNs token refresh.
BUG-1009,Refund status not updated after cancellation,Payments,P2,2025-12-06,,Steps: Cancel paid order -> open order details. Actual: refund shows "Processing" for days; backend says completed. Expected: status updated. Customer complaints increasing.
BUG-1010,Promo code applies but discount not reflected in total,Checkout,P1,2025-12-07,2025-12-10,Steps: Apply promo -> go to payment. Actual: discount shown in line items but final total unchanged. Expected: total reduced. Happens with stacked fees.
BUG-1011,Home feed loads blank on cold start,Home,P1,2025-12-08,,Steps: Cold start app. Actual: blank screen 3-5s then content appears or stays blank. Expected: skeleton then content. Possibly API timeout not handled.
BUG-1012,Vendor menu missing items until refresh,Menu,P3,2025-11-30,2025-12-02,Steps: Open vendor -> scroll menu. Actual: some categories empty until pull-to-refresh. Expected: items show immediately. Cache invalidation issue.
BUG-1013,Order history shows wrong timestamps (timezone issue),Orders,P4,2025-10-25,2025-11-01,Steps: View past orders. Actual: timestamps shifted by +3 hours. Expected: local timezone. Backend returns UTC, client double-applies offset.
BUG-1014,App crashes when opening saved cards screen,Payments,P1,2025-12-09,2025-12-12,Steps: Profile -> Payment methods. Actual: crash. Expected: list cards. Stacktrace: null pointer on card brand icon mapping.
BUG-1015,OTP SMS not received for some carriers,Auth,P1,2025-12-11,,Steps: Login -> request OTP. Actual: OTP never arrives for certain carriers. Expected: SMS in <30s. Retry doesn’t help. Impact: user blocked from login.
BUG-1016,Rating screen appears twice after delivery complete,Orders,P4,2025-11-18,2025-11-19,Steps: Complete delivery -> rating pops -> dismiss -> pops again. Expected: once. Minor annoyance.
BUG-1017,Dark mode makes checkout text unreadable,Checkout,P3,2025-12-03,2025-12-06,Steps: Enable dark mode -> checkout screen. Actual: grey text on dark grey background for fee breakdown. Expected: accessible contrast.
BUG-1018,Add address pin drops in wrong location,Address,P2,2025-12-04,,Steps: Add address -> drag pin. Actual: pin snaps ~200m away. Expected: accurate. More common when GPS weak; map provider rounding issue.
BUG-1019,Restaurant ETA not updated after driver reassigned,Tracking,P2,2025-12-01,2025-12-05,Steps: Driver reassigned mid-order. Actual: ETA stays old; tracking shows new driver. Expected: ETA recalculated. Backend ETA event missing.
BUG-1020,Deep link to order tracking sometimes opens home,DeepLinks,P3,2025-12-10,2025-12-14,Steps: Open tracking deep link from push. Actual: lands on Home. Expected: open tracking. Occurs if app was killed and user not fully hydrated.
